primary_track,program_duration_days,placed,employment_status,highest_level_of_education,biggest_challenge_in_search,work_authorization_status,number_of_interviews,number_of_applications,professional_experience_num
SWE,26.0,0,Employed,Bachelor's Degree,Tech issue,Other,1.0,9,3.5
SWE,142.0,0,Employed,Bachelor's Degree,Tech issue,Citizen,3.0,4,0.5
PSO,156.0,0,Employed,Bachelor's Degree,Tech issue,Other,0.0,8,0.5
SWE,184.0,0,Student,Master's Degree,CV issue,Citizen,0.0,10,1.5
Data,112.0,0,Student,Bachelor's Degree,CV issue,Other,1.0,50,3.5
SWE,244.0,1,Unemployed,Bachelor's Degree,CV issue,Other,0.0,9,0.5
SWE,58.0,1,Employed,Master's Degree,Career clarity,Citizen,0.0,0,5.0
SWE,52.0,1,Unemployed,Master's Degree,Interview skills,Citizen,3.0,40,1.5
SWE,317.0,1,Employed,Master's Degree,CV issue,Citizen,0.0,40,1.5
SWE,64.0,1,Unemployed,Master's Degree,CV issue,Citizen,4.0,200,5.0
SWE,73.0,1,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,15,0.5
SWE,94.0,1,Employed,"Some College, No Degree",Interview skills,Citizen,3.0,3,1.5
SWE,354.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,0.0,60,1.5
SWE,283.0,1,Student,Master's Degree,Interview skills,Citizen,1.0,4,0.5
SWE,332.0,1,Student,Master's Degree,Interview skills,Other,6.0,45,0.5
SWE,254.0,1,Employed,Bachelor's Degree,CV issue,Other,0.0,45,3.5
SWE,60.0,1,Student,Master's Degree,Tech issue,Citizen,0.0,1,1.5
SWE,207.0,1,Student,High School Graduate,Career clarity,Citizen,0.0,25,5.0
SWE,289.0,1,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,200,1.5
SWE,209.0,1,Employed,Bachelor's Degree,CV issue,Other,1.0,6,0.5
SWE,319.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,2.0,5,3.5
SWE,325.0,1,Unemployed,Master's Degree,CV issue,Citizen,0.0,35,1.5
SWE,112.0,0,Employed,Bachelor's Degree,Career clarity,Other,2.0,7,1.5
SWE,298.0,1,Contractor,Bachelor's Degree,Interview skills,Citizen,4.0,50,3.5
SWE,112.0,0,Student,Doctorate or Professional Degree,CV issue,Citizen,3.0,150,3.5
